"Group.1" "Group.2" "Group.3" "subject" "activity" "variable" "value"
"train" "WALKING_DOWNSTAIRS" "tBodyAccStdX" NA NA NA 0.139846824303926
"test" "WALKING_UPSTAIRS" "tBodyAccStdX" NA NA NA -0.276529588909979
"train" "WALKING_UPSTAIRS" "tBodyAccStdX" NA NA NA -0.221072445907903
"test" "LAYING" "tBodyAccStdY" NA NA NA -0.958961259925512
"train" "LAYING" "tBodyAccStdY" NA NA NA -0.937608935448472
"test" "SITTING" "tBodyAccStdY" NA NA NA -0.9314033418778
"train" "SITTING" "tBodyAccStdY" NA NA NA -0.936208179940381
"test" "STANDING" "tBodyAccStdY" NA NA NA -0.923457376973684
"train" "STANDING" "tBodyAccStdY" NA NA NA -0.936013307409025
"test" "WALKING" "tBodyAccStdY" NA NA NA -0.031767626453629
"train" "WALKING" "tBodyAccStdY" NA NA NA -0.0202716892534421
"test" "WALKING_DOWNSTAIRS" "tBodyAccStdY" NA NA NA 0.0134523978078571
"train" "WALKING_DOWNSTAIRS" "tBodyAccStdY" NA NA NA 0.079183931731927
"test" "WALKING_UPSTAIRS" "tBodyAccStdY" NA NA NA -0.0517638240820382
"train" "WALKING_UPSTAIRS" "tBodyAccStdY" NA NA NA -0.000348031582171482
"test" "LAYING" "tBodyAccStdZ" NA NA NA -0.964927132290503
"train" "LAYING" "tBodyAccStdZ" NA NA NA -0.941635287283866
"test" "SITTING" "tBodyAccStdZ" NA NA NA -0.938215184142566
"train" "SITTING" "tBodyAccStdZ" NA NA NA -0.939274193888803
"test" "STANDING" "tBodyAccStdZ" NA NA NA -0.933595536629699
"train" "STANDING" "tBodyAccStdZ" NA NA NA -0.942359763042212
"test" "WALKING" "tBodyAccStdZ" NA NA NA -0.342244602873911
"train" "WALKING" "tBodyAccStdZ" NA NA NA -0.246279194916452
"test" "WALKING_DOWNSTAIRS" "tBodyAccStdZ" NA NA NA -0.243477099060119
"train" "WALKING_DOWNSTAIRS" "tBodyAccStdZ" NA NA NA -0.168367906550132
"test" "WALKING_UPSTAIRS" "tBodyAccStdZ" NA NA NA -0.255380107800849
"train" "WALKING_UPSTAIRS" "tBodyAccStdZ" NA NA NA -0.140363752818472
"test" "LAYING" "tGravityAccMeanX" NA NA NA -0.385937754614525
"train" "LAYING" "tGravityAccMeanX" NA NA NA -0.370854938686567
"test" "SITTING" "tGravityAccMeanX" NA NA NA 0.9028616299389
"train" "SITTING" "tGravityAccMeanX" NA NA NA 0.870899899300156
"test" "STANDING" "tGravityAccMeanX" NA NA NA 0.943091097537594
"train" "STANDING" "tGravityAccMeanX" NA NA NA 0.940855692081514
"test" "WALKING" "tGravityAccMeanX" NA NA NA 0.939130584415323
"train" "WALKING" "tGravityAccMeanX" NA NA NA 0.933317070057096
"test" "WALKING_DOWNSTAIRS" "tGravityAccMeanX" NA NA NA 0.931437114714286
"train" "WALKING_DOWNSTAIRS" "tGravityAccMeanX" NA NA NA 0.924336230375254
"test" "WALKING_UPSTAIRS" "tGravityAccMeanX" NA NA NA 0.880983929469214
"train" "WALKING_UPSTAIRS" "tGravityAccMeanX" NA NA NA 0.872378174930103
"test" "LAYING" "tGravityAccMeanY" NA NA NA 0.594350912979516
"train" "LAYING" "tGravityAccMeanY" NA NA NA 0.632926187069652
"test" "SITTING" "tGravityAccMeanY" NA NA NA 0.071857995734034
"train" "SITTING" "tGravityAccMeanY" NA NA NA 0.122785136286184
"test" "STANDING" "tGravityAccMeanY" NA NA NA -0.189637522767538
"train" "STANDING" "tGravityAccMeanY" NA NA NA -0.182159165492402
"test" "WALKING" "tGravityAccMeanY" NA NA NA -0.189780957912097
"train" "WALKING" "tGravityAccMeanY" NA NA NA -0.199518178897227
"test" "WALKING_DOWNSTAIRS" "tGravityAccMeanY" NA NA NA -0.171822241287476
"train" "WALKING_DOWNSTAIRS" "tGravityAccMeanY" NA NA NA -0.167095144852028
"test" "WALKING_UPSTAIRS" "tGravityAccMeanY" NA NA NA -0.268759574031847
"train" "WALKING_UPSTAIRS" "tGravityAccMeanY" NA NA NA -0.28691577583411
"test" "LAYING" "tGravityAccMeanZ" NA NA NA 0.503317463620112
"train" "LAYING" "tGravityAccMeanZ" NA NA NA 0.57557155056091
"test" "SITTING" "tGravityAccMeanZ" NA NA NA 0.131904738775356
"train" "SITTING" "tGravityAccMeanZ" NA NA NA 0.162123894662294
"test" "STANDING" "tGravityAccMeanZ" NA NA NA 0.0204009151990789
"train" "STANDING" "tGravityAccMeanZ" NA NA NA -0.0273917941389855
"test" "WALKING" "tGravityAccMeanZ" NA NA NA -0.0264384787160887
"train" "WALKING" "tGravityAccMeanZ" NA NA NA -0.0649048773550457
"test" "WALKING_DOWNSTAIRS" "tGravityAccMeanZ" NA NA NA -0.038043391203381
"train" "WALKING_DOWNSTAIRS" "tGravityAccMeanZ" NA NA NA -0.0521996569589989
"test" "WALKING_UPSTAIRS" "tGravityAccMeanZ" NA NA NA -0.123669693229008
"train" "WALKING_UPSTAIRS" "tGravityAccMeanZ" NA NA NA -0.148313217708166
"test" "LAYING" "tGravityAccStdX" NA NA NA -0.947827229962756
"train" "LAYING" "tGravityAccStdX" NA NA NA -0.941599380704335
"test" "SITTING" "tGravityAccStdX" NA NA NA -0.981298906069246
"train" "SITTING" "tGravityAccStdX" NA NA NA -0.979064977083981
"test" "STANDING" "tGravityAccStdX" NA NA NA -0.987356506654135
"train" "STANDING" "tGravityAccStdX" NA NA NA -0.988270207540029
"test" "WALKING" "tGravityAccStdX" NA NA NA -0.977866512903226
"train" "WALKING" "tGravityAccStdX" NA NA NA -0.977509136933116
"test" "WALKING_DOWNSTAIRS" "tGravityAccStdX" NA NA NA -0.951956040880952
"train" "WALKING_DOWNSTAIRS" "tGravityAccStdX" NA NA NA -0.948808651206897
"test" "WALKING_UPSTAIRS" "tGravityAccStdX" NA NA NA -0.95239939104034
"train" "WALKING_UPSTAIRS" "tGravityAccStdX" NA NA NA -0.946344178769804
"test" "LAYING" "tGravityAccStdY" NA NA NA -0.979253784934823
"train" "LAYING" "tGravityAccStdY" NA NA NA -0.957061403069012
"test" "SITTING" "tGravityAccStdY" NA NA NA -0.957728709456212
"train" "SITTING" "tGravityAccStdY" NA NA NA -0.957651371119751
"test" "STANDING" "tGravityAccStdY" NA NA NA -0.96572940268797
"train" "STANDING" "tGravityAccStdY" NA NA NA -0.970754316870451
"test" "WALKING" "tGravityAccStdY" NA NA NA -0.967576257318548
"train" "WALKING" "tGravityAccStdY" NA NA NA -0.966631852120718
"test" "WALKING_DOWNSTAIRS" "tGravityAccStdY" NA NA NA -0.933501819642857
"train" "WALKING_DOWNSTAIRS" "tGravityAccStdY" NA NA NA -0.934591624918864
"test" "WALKING_UPSTAIRS" "tGravityAccStdY" NA NA NA -0.925912647367304
"train" "WALKING_UPSTAIRS" "tGravityAccStdY" NA NA NA -0.925389766076421
"test" "LAYING" "tGravityAccStdZ" NA NA NA -0.973531121975791
"train" "LAYING" "tGravityAccStdZ" NA NA NA -0.943600986262971
"test" "SITTING" "tGravityAccStdZ" NA NA NA -0.947828792947047
"train" "SITTING" "tGravityAccStdZ" NA NA NA -0.947177473594868
"test" "STANDING" "tGravityAccStdZ" NA NA NA -0.947266767753759
"train" "STANDING" "tGravityAccStdZ" NA NA NA -0.955334333173217
"test" "WALKING" "tGravityAccStdZ" NA NA NA -0.959918772116935
"train" "WALKING" "tGravityAccStdZ" NA NA NA -0.952444776696574
"test" "WALKING_DOWNSTAIRS" "tGravityAccStdZ" NA NA NA -0.919091320238095
"train" "WALKING_DOWNSTAIRS" "tGravityAccStdZ" NA NA NA -0.909636090415821
"test" "WALKING_UPSTAIRS" "tGravityAccStdZ" NA NA NA -0.906976117919321
"train" "WALKING_UPSTAIRS" "tGravityAccStdZ" NA NA NA -0.899679890894688
"test" "LAYING" "tBodyAccJerkMeanX" NA NA NA 0.0825682671290503
"train" "LAYING" "tBodyAccJerkMeanX" NA NA NA 0.0815722575616205
"test" "SITTING" "tBodyAccJerkMeanX" NA NA NA 0.076153849587169
"train" "SITTING" "tBodyAccJerkMeanX" NA NA NA 0.0757738529781182
"test" "STANDING" "tBodyAccJerkMeanX" NA NA NA 0.075468957712782
"train" "STANDING" "tBodyAccJerkMeanX" NA NA NA 0.07485715063377
"test" "WALKING" "tBodyAccJerkMeanX" NA NA NA 0.0731737339316129
"train" "WALKING" "tBodyAccJerkMeanX" NA NA NA 0.0781529317778793
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanX" NA NA NA 0.0916206223598452
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanX" NA NA NA 0.0882069647409736
"test" "WALKING_UPSTAIRS" "tBodyAccJerkMeanX" NA NA NA 0.0734505822969214
"train" "WALKING_UPSTAIRS" "tBodyAccJerkMeanX" NA NA NA 0.0781685444347158
"test" "LAYING" "tBodyAccJerkMeanY" NA NA NA 0.0107112016761881
"train" "LAYING" "tBodyAccJerkMeanY" NA NA NA 0.0113483623410661
"test" "SITTING" "tBodyAccJerkMeanY" NA NA NA 0.00523557345498982
"train" "SITTING" "tBodyAccJerkMeanY" NA NA NA 0.00497487103109658
"test" "STANDING" "tBodyAccJerkMeanY" NA NA NA 0.00888523101716541
"train" "STANDING" "tBodyAccJerkMeanY" NA NA NA 0.00877429407298399
"test" "WALKING" "tBodyAccJerkMeanY" NA NA NA 0.00998238899389113
"train" "WALKING" "tBodyAccJerkMeanY" NA NA NA 0.0121226741316897
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanY" NA NA NA -0.00322121589102381
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanY" NA NA NA 0.00243695730748479
"test" "WALKING_UPSTAIRS" "tBodyAccJerkMeanY" NA NA NA 0.00490440295949045
"train" "WALKING_UPSTAIRS" "tBodyAccJerkMeanY" NA NA NA 0.0104508404666636
"test" "LAYING" "tBodyAccJerkMeanZ" NA NA NA -0.00364736361863873
"train" "LAYING" "tBodyAccJerkMeanZ" NA NA NA -0.00532249999608209
"test" "SITTING" "tBodyAccJerkMeanZ" NA NA NA -0.00410731471661263
"train" "SITTING" "tBodyAccJerkMeanZ" NA NA NA -0.00186788827412442
"test" "STANDING" "tBodyAccJerkMeanZ" NA NA NA -0.00641548605615977
"train" "STANDING" "tBodyAccJerkMeanZ" NA NA NA -0.00387217635462227
"test" "WALKING" "tBodyAccJerkMeanZ" NA NA NA 0.00123049294354839
"train" "WALKING" "tBodyAccJerkMeanZ" NA NA NA -0.00375555256860604
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanZ" NA NA NA -0.00838420495773809
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkMeanZ" NA NA NA -0.00887530540913793
"test" "WALKING_UPSTAIRS" "tBodyAccJerkMeanZ" NA NA NA -0.00709425056157112
"train" "WALKING_UPSTAIRS" "tBodyAccJerkMeanZ" NA NA NA -0.0055333909217521
"test" "LAYING" "tBodyAccJerkStdX" NA NA NA -0.980256750707635
"train" "LAYING" "tBodyAccJerkStdX" NA NA NA -0.980429538464819
"test" "SITTING" "tBodyAccJerkStdX" NA NA NA -0.983563065824847
"train" "SITTING" "tBodyAccJerkStdX" NA NA NA -0.985544794618974
"test" "STANDING" "tBodyAccJerkStdX" NA NA NA -0.975695739736842
"train" "STANDING" "tBodyAccJerkStdX" NA NA NA -0.981622950225619
"test" "WALKING" "tBodyAccJerkStdX" NA NA NA -0.230634921260282
"train" "WALKING" "tBodyAccJerkStdX" NA NA NA -0.282116881167088
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdX" NA NA NA -0.0941815286700238
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdX" NA NA NA -0.0081975248379716
"test" "WALKING_UPSTAIRS" "tBodyAccJerkStdX" NA NA NA -0.372285856288747
"train" "WALKING_UPSTAIRS" "tBodyAccJerkStdX" NA NA NA -0.355849488668406
"test" "LAYING" "tBodyAccJerkStdY" NA NA NA -0.972278279683426
"train" "LAYING" "tBodyAccJerkStdY" NA NA NA -0.970716016723525
"test" "SITTING" "tBodyAccJerkStdY" NA NA NA -0.971875152668024
"train" "SITTING" "tBodyAccJerkStdY" NA NA NA -0.974649826034215
"test" "STANDING" "tBodyAccJerkStdY" NA NA NA -0.958496662406015
"train" "STANDING" "tBodyAccJerkStdY" NA NA NA -0.96660630371179
"test" "WALKING" "tBodyAccJerkStdY" NA NA NA -0.0986195505663911
"train" "WALKING" "tBodyAccJerkStdY" NA NA NA -0.104970427937531
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdY" NA NA NA -0.101380895052357
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdY" NA NA NA -0.0618724537659239
"test" "WALKING_UPSTAIRS" "tBodyAccJerkStdY" NA NA NA -0.36356830989087
"train" "WALKING_UPSTAIRS" "tBodyAccJerkStdY" NA NA NA -0.328541506919935
"test" "LAYING" "tBodyAccJerkStdZ" NA NA NA -0.979848204692737
"train" "LAYING" "tBodyAccJerkStdZ" NA NA NA -0.979334766545842
"test" "SITTING" "tBodyAccJerkStdZ" NA NA NA -0.981694772077393
"train" "SITTING" "tBodyAccJerkStdZ" NA NA NA -0.982526224152411
"test" "STANDING" "tBodyAccJerkStdZ" NA NA NA -0.976671984022556
"train" "STANDING" "tBodyAccJerkStdZ" NA NA NA -0.980575465705968
"test" "WALKING" "tBodyAccJerkStdZ" NA NA NA -0.521739457217742
"train" "WALKING" "tBodyAccJerkStdZ" NA NA NA -0.461915637480408
"test" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdZ" NA NA NA -0.424200745914286
"train" "WALKING_DOWNSTAIRS" "tBodyAccJerkStdZ" NA NA NA -0.373529594680882
"test" "WALKING_UPSTAIRS" "tBodyAccJerkStdZ" NA NA NA -0.638159602229299
"train" "WALKING_UPSTAIRS" "tBodyAccJerkStdZ" NA NA NA -0.622193012661696
"test" "LAYING" "tBodyGyroMeanX" NA NA NA -0.0166314081294004
"train" "LAYING" "tBodyGyroMeanX" NA NA NA -0.0167611908027991
"test" "SITTING" "tBodyGyroMeanX" NA NA NA -0.0400046946661914
"train" "SITTING" "tBodyGyroMeanX" NA NA NA -0.0378305948293904
"test" "STANDING" "tBodyGyroMeanX" NA NA NA -0.0276270984325752
"train" "STANDING" "tBodyGyroMeanX" NA NA NA -0.0263231980185808
"test" "WALKING" "tBodyGyroMeanX" NA NA NA -0.0433151675165726
"train" "WALKING" "tBodyGyroMeanX" NA NA NA -0.0312533147691762
"test" "WALKING_DOWNSTAIRS" "tBodyGyroMeanX" NA NA NA -0.101341612095476
"train" "WALKING_DOWNSTAIRS" "tBodyGyroMeanX" NA NA NA -0.0766623641270639
"test" "WALKING_UPSTAIRS" "tBodyGyroMeanX" NA NA NA -0.0252961131944798
"train" "WALKING_UPSTAIRS" "tBodyGyroMeanX" NA NA NA 0.0209240364789655
"test" "LAYING" "tBodyGyroMeanY" NA NA NA -0.0979956312043575
"train" "LAYING" "tBodyGyroMeanY" NA NA NA -0.091660815198081
"test" "SITTING" "tBodyGyroMeanY" NA NA NA -0.0703346296040733
"train" "SITTING" "tBodyGyroMeanY" NA NA NA -0.0728027807545334
"test" "STANDING" "tBodyGyroMeanY" NA NA NA -0.0719404272818233
"train" "STANDING" "tBodyGyroMeanY" NA NA NA -0.0660746057299709
"test" "WALKING" "tBodyGyroMeanY" NA NA NA -0.0647420858230101
"train" "WALKING" "tBodyGyroMeanY" NA NA NA -0.0713125942324959
"test" "WALKING_DOWNSTAIRS" "tBodyGyroMeanY" NA NA NA -0.0461447231649762
"train" "WALKING_DOWNSTAIRS" "tBodyGyroMeanY" NA NA NA -0.0559099218163377
"test" "WALKING_UPSTAIRS" "tBodyGyroMeanY" NA NA NA -0.0693319879901062
"train" "WALKING_UPSTAIRS" "tBodyGyroMeanY" NA NA NA -0.0969463358755993
"test" "LAYING" "tBodyGyroMeanZ" NA NA NA 0.122576525847486
"train" "LAYING" "tBodyGyroMeanZ" NA NA NA 0.127147917707889
"test" "SITTING" "tBodyGyroMeanZ" NA NA NA 0.0759514418063747
"train" "SITTING" "tBodyGyroMeanZ" NA NA NA 0.0784742074521695
"test" "STANDING" "tBodyGyroMeanZ" NA NA NA 0.0836650240665414
"train" "STANDING" "tBodyGyroMeanZ" NA NA NA 0.0787782501328239
"test" "WALKING" "tBodyGyroMeanZ" NA NA NA 0.0917220728034476
"train" "WALKING" "tBodyGyroMeanZ" NA NA NA 0.0841943988581277
"test" "WALKING_DOWNSTAIRS" "tBodyGyroMeanZ" NA NA NA 0.0964457295442619
"train" "WALKING_DOWNSTAIRS" "tBodyGyroMeanZ" NA NA NA 0.0939252913958722
"test" "WALKING_UPSTAIRS" "tBodyGyroMeanZ" NA NA NA 0.0844374813053079
"train" "WALKING_UPSTAIRS" "tBodyGyroMeanZ" NA NA NA 0.0491202105442125
"test" "LAYING" "tBodyGyroStdX" NA NA NA -0.974575194841713
"train" "LAYING" "tBodyGyroStdX" NA NA NA -0.965341869218906
"test" "SITTING" "tBodyGyroStdX" NA NA NA -0.980391992382892
"train" "SITTING" "tBodyGyroStdX" NA NA NA -0.981262834082426
"test" "STANDING" "tBodyGyroStdX" NA NA NA -0.931444571390977
"train" "STANDING" "tBodyGyroStdX" NA NA NA -0.950981475866084
"test" "WALKING" "tBodyGyroStdX" NA NA NA -0.49123325066129
"train" "WALKING" "tBodyGyroStdX" NA NA NA -0.461290098708157
"test" "WALKING_DOWNSTAIRS" "tBodyGyroStdX" NA NA NA -0.373429876892857
"train" "WALKING_DOWNSTAIRS" "tBodyGyroStdX" NA NA NA -0.316944038169878
"test" "WALKING_UPSTAIRS" "tBodyGyroStdX" NA NA NA -0.4816437891862
"train" "WALKING_UPSTAIRS" "tBodyGyroStdX" NA NA NA -0.461445663370363
"test" "LAYING" "tBodyGyroStdY" NA NA NA -0.962547564208566
"train" "LAYING" "tBodyGyroStdY" NA NA NA -0.963438605707178
"test" "SITTING" "tBodyGyroStdY" NA NA NA -0.967761899022403
"train" "SITTING" "tBodyGyroStdY" NA NA NA -0.966305793009331
"test" "STANDING" "tBodyGyroStdY" NA NA NA -0.953936289642857
"train" "STANDING" "tBodyGyroStdY" NA NA NA -0.96414183628821
"test" "WALKING" "tBodyGyroStdY" NA NA NA -0.40313354348629
"train" "WALKING" "tBodyGyroStdY" NA NA NA -0.325584920802455
"test" "WALKING_DOWNSTAIRS" "tBodyGyroStdY" NA NA NA -0.418157975061905
"train" "WALKING_DOWNSTAIRS" "tBodyGyroStdY" NA NA NA -0.306181913257404
"test" "WALKING_UPSTAIRS" "tBodyGyroStdY" NA NA NA -0.395856447426093
"train" "WALKING_UPSTAIRS" "tBodyGyroStdY" NA NA NA -0.321570850665424
"test" "LAYING" "tBodyGyroStdZ" NA NA NA -0.968943417318436
"train" "LAYING" "tBodyGyroStdZ" NA NA NA -0.961435198422175
"test" "SITTING" "tBodyGyroStdZ" NA NA NA -0.955691205600815
"train" "SITTING" "tBodyGyroStdZ" NA NA NA -0.958891866041991
"test" "STANDING" "tBodyGyroStdZ" NA NA NA -0.949165841541353
"train" "STANDING" "tBodyGyroStdZ" NA NA NA -0.960106905407569
"test" "WALKING" "tBodyGyroStdZ" NA NA NA -0.382048326903226
"train" "WALKING" "tBodyGyroStdZ" NA NA NA -0.32080957637553
"test" "WALKING_DOWNSTAIRS" "tBodyGyroStdZ" NA NA NA -0.299487958953952
"train" "WALKING_DOWNSTAIRS" "tBodyGyroStdZ" NA NA NA -0.26144603615071
"test" "WALKING_UPSTAIRS" "tBodyGyroStdZ" NA NA NA -0.234132446747091
"train" "WALKING_UPSTAIRS" "tBodyGyroStdZ" NA NA NA -0.238455522894334
"test" "LAYING" "tBodyGyroJerkMeanX" NA NA NA -0.101457328947858
"train" "LAYING" "tBodyGyroJerkMeanX" NA NA NA -0.102019624959062
"test" "SITTING" "tBodyGyroJerkMeanX" NA NA NA -0.0948832319185336
"train" "SITTING" "tBodyGyroJerkMeanX" NA NA NA -0.0959456649824261
"test" "STANDING" "tBodyGyroJerkMeanX" NA NA NA -0.100461129155075
"train" "STANDING" "tBodyGyroJerkMeanX" NA NA NA -0.0994459157848617
"test" "WALKING" "tBodyGyroJerkMeanX" NA NA NA -0.0878835560618952
"train" "WALKING" "tBodyGyroJerkMeanX" NA NA NA -0.0968968860162643
"test" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanX" NA NA NA -0.0695720976611905
"train" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanX" NA NA NA -0.0742508688621095
"test" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanX" NA NA NA -0.104105469604607
"train" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanX" NA NA NA -0.115634379434529
"test" "LAYING" "tBodyGyroJerkMeanY" NA NA NA -0.03801389731527
"train" "LAYING" "tBodyGyroJerkMeanY" NA NA NA -0.0382683832088763
"test" "SITTING" "tBodyGyroJerkMeanY" NA NA NA -0.0412598892004073
"train" "SITTING" "tBodyGyroJerkMeanY" NA NA NA -0.0405964730900187
"test" "STANDING" "tBodyGyroJerkMeanY" NA NA NA -0.0419899598712406
"train" "STANDING" "tBodyGyroJerkMeanY" NA NA NA -0.0424437794962882
"test" "WALKING" "tBodyGyroJerkMeanY" NA NA NA -0.0452121990068548
"train" "WALKING" "tBodyGyroJerkMeanY" NA NA NA -0.0443103427345922
"test" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanY" NA NA NA -0.0496904002757143
"train" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanY" NA NA NA -0.0519342665009533
"test" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanY" NA NA NA -0.0370180926612527
"train" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanY" NA NA NA -0.0393221127075303
"test" "LAYING" "tBodyGyroJerkMeanZ" NA NA NA -0.0634655948080075
"train" "LAYING" "tBodyGyroJerkMeanZ" NA NA NA -0.0639964642257285
"test" "SITTING" "tBodyGyroJerkMeanZ" NA NA NA -0.0493232638925051
"train" "SITTING" "tBodyGyroJerkMeanZ" NA NA NA -0.0513023722602862
"test" "STANDING" "tBodyGyroJerkMeanZ" NA NA NA -0.0528522741647744
"train" "STANDING" "tBodyGyroJerkMeanZ" NA NA NA -0.0518025512964192
"test" "WALKING" "tBodyGyroJerkMeanZ" NA NA NA -0.0579666753374798
"train" "WALKING" "tBodyGyroJerkMeanZ" NA NA NA -0.0524042952439478
"test" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanZ" NA NA NA -0.0588719525257143
"train" "WALKING_DOWNSTAIRS" "tBodyGyroJerkMeanZ" NA NA NA -0.052917414205284
"test" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanZ" NA NA NA -0.0539430325613588
"train" "WALKING_UPSTAIRS" "tBodyGyroJerkMeanZ" NA NA NA -0.0519831673859832
"test" "LAYING" "tBodyGyroJerkStdX" NA NA NA -0.977778340986965
"train" "LAYING" "tBodyGyroJerkStdX" NA NA NA -0.975493723411514
"test" "SITTING" "tBodyGyroJerkStdX" NA NA NA -0.983401234236253
"train" "SITTING" "tBodyGyroJerkStdX" NA NA NA -0.98658476348367
"test" "STANDING" "tBodyGyroJerkStdX" NA NA NA -0.960413190958647
"train" "STANDING" "tBodyGyroJerkStdX" NA NA NA -0.969492009825327
"test" "WALKING" "tBodyGyroJerkStdX" NA NA NA -0.413270422316532
"train" "WALKING" "tBodyGyroJerkStdX" NA NA NA -0.361232566109217
"test" "WALKING_DOWNSTAIRS" "tBodyGyroJerkStdX" NA NA NA -0.403089544085476
"train" "WALKING_DOWNSTAIRS" "tBodyGyroJerkStdX" NA NA NA -0.374000213890974
"test" "WALKING_UPSTAIRS" "tBodyGyroJerkStdX" NA NA NA -0.576962412908705
"train" "WALKING_UPSTAIRS" "tBodyGyroJerkStdX" NA NA NA -0.542672583806617
"test" "LAYING" "tBodyGyroJerkStdY" NA NA NA -0.977947653873371
"train" "LAYING" "tBodyGyroJerkStdY" NA NA NA -0.981437634278607
"test" "SITTING" "tBodyGyroJerkStdY" NA NA NA -0.986105054114053
"train" "SITTING" "tBodyGyroJerkStdY" NA NA NA -0.986654023623639
